pdb_id,num_chains,chain_names,total_amino_acids,structure_type,expdta,num_models
1zwf,1,A,34,NMR,SOLUTION NMR,10
1zwg,1,A,34,NMR,SOLUTION NMR,10
1zwv,1,A,52,NMR,SOLUTION NMR,20
1zy3,2,"A,B",190,NMR,SOLUTION NMR,10
1zzi,2,"A,B",161,single,X-RAY DIFFRACTION,1
1zzp,1,A,109,NMR,SOLUTION NMR,10
2a07,6,"F,G,H,I,J,K",487,single,X-RAY DIFFRACTION,1
2a1a,2,"A,B",430,single,X-RAY DIFFRACTION,1
2a1i,1,A,129,single,X-RAY DIFFRACTION,1
2a1j,2,"A,B",141,single,X-RAY DIFFRACTION,1
2a1s,4,"A,B,C,D",1566,single,X-RAY DIFFRACTION,1
2a1t,6,"A,B,C,D,R,S",2100,single,X-RAY DIFFRACTION,1
2a1u,2,"A,B",567,single,X-RAY DIFFRACTION,1
2a26,3,"A,B,C",140,single,X-RAY DIFFRACTION,1
2a38,3,"A,B,C",582,single,X-RAY DIFFRACTION,1
2a3j,1,A,96,NMR,SOLUTION NMR,20
2a3r,2,"A,B",574,single,X-RAY DIFFRACTION,1
2a45,10,"A,B,D,E,G,H,I,J,K,L",774,single,X-RAY DIFFRACTION,1
2a4j,2,"A,B",96,NMR,SOLUTION NMR,20
2a55,1,A,133,NMR,SOLUTION NMR,40
2a5e,1,A,156,NMR,SOLUTION NMR,1
2a72,2,"A,B",266,single,X-RAY DIFFRACTION,1
2a73,2,"A,B",1611,single,X-RAY DIFFRACTION,1
2a7l,2,"A,B",246,single,X-RAY DIFFRACTION,1
2a7o,1,A,100,NMR,SOLUTION NMR,20
2a7r,4,"A,B,C,D",1319,single,X-RAY DIFFRACTION,1
2a9u,2,"A,B",259,single,X-RAY DIFFRACTION,1
2aav,1,A,98,NMR,SOLUTION NMR,20
2aax,2,"A,B",518,single,X-RAY DIFFRACTION,1
2abj,4,"A,D,G,J",1449,single,X-RAY DIFFRACTION,1
2abl,1,A,163,single,X-RAY DIFFRACTION,1
2ac3,1,A,277,single,X-RAY DIFFRACTION,1
2acl,8,"A,B,C,D,E,F,G,H",1827,single,X-RAY DIFFRACTION,1
2acm,2,"A,B",104,NMR,SOLUTION NMR,15
2acx,2,"A,B",987,single,X-RAY DIFFRACTION,1
2ad9,1,A,98,NMR,SOLUTION NMR,20
2adb,1,A,127,NMR,SOLUTION NMR,20
2adc,1,A,208,NMR,SOLUTION NMR,20
2af0,1,A,146,single,X-RAY DIFFRACTION,1
2af2,2,"A,B",306,NMR,SOLUTION NMR,30
2ag5,4,"A,B,C,D",979,single,X-RAY DIFFRACTION,1
2aga,1,A,190,NMR,SOLUTION NMR,20
2agh,3,"A,B,C",143,NMR,SOLUTION NMR,20
2ahx,2,"A,B",1226,single,X-RAY DIFFRACTION,1
2ai6,1,A,125,NMR,SOLUTION NMR,21
2an3,2,"A,B",527,single,X-RAY DIFFRACTION,1
2anr,1,A,153,single,X-RAY DIFFRACTION,1
2aob,4,"A,B,C,D",378,single,X-RAY DIFFRACTION,1
2aq0,2,"A,B",168,NMR,SOLUTION NMR,20
2arf,1,A,165,NMR,SOLUTION NMR,10
2arp,2,"A,F",253,single,X-RAY DIFFRACTION,1
2arv,2,"A,B",222,single,X-RAY DIFFRACTION,1
2ary,2,"A,B",644,single,X-RAY DIFFRACTION,1
2as5,4,"F,G,M,N",740,single,X-RAY DIFFRACTION,1
2ase,1,A,178,NMR,SOLUTION NMR,15
2ask,2,"A,B",202,single,X-RAY DIFFRACTION,1
2asu,2,"A,B",229,single,X-RAY DIFFRACTION,1
2atx,2,"A,B",372,single,X-RAY DIFFRACTION,1
2aty,2,"A,B",752,single,SOLUTION SCATTERING,1
2auh,2,"A,B",334,single,X-RAY DIFFRACTION,1
2avg,1,A,110,NMR,SOLUTION NMR,29
2aw2,4,"A,B,X,Y",417,single,X-RAY DIFFRACTION,1
2awt,1,A,95,NMR,SOLUTION NMR,20
2ax4,4,"A,B,C,D",786,single,X-RAY DIFFRACTION,1
2axl,1,A,144,NMR,SOLUTION NMR,10
2axn,1,A,451,single,X-RAY DIFFRACTION,1
2ayo,2,"A,B",430,single,X-RAY DIFFRACTION,1
2aze,3,"A,B,C",294,single,X-RAY DIFFRACTION,1
2b0u,4,"A,B,C,D",799,single,X-RAY DIFFRACTION,1
2b1w,1,A,99,NMR,SOLUTION NMR,10
2b25,2,"A,B",493,single,X-RAY DIFFRACTION,1
2b2w,4,"A,B,C,D",442,single,X-RAY DIFFRACTION,1
2b3l,1,A,305,single,X-RAY DIFFRACTION,1
2b3o,1,A,504,single,X-RAY DIFFRACTION,1
2b48,1,A,143,single,X-RAY DIFFRACTION,1
2b4n,1,A,42,NMR,SOLUTION NMR,20
2b5l,4,"A,B,C,D",2615,single,X-RAY DIFFRACTION,1
2b5m,1,A,1119,single,X-RAY DIFFRACTION,1
2b6f,1,A,121,NMR,SOLUTION NMR,20
2b95,2,"A,B",192,NMR,SOLUTION NMR,20
2bb5,2,"A,B",818,single,X-RAY DIFFRACTION,1
2bbt,2,"A,B",507,single,X-RAY DIFFRACTION,1
2bc4,4,"A,B,C,D",771,single,X-RAY DIFFRACTION,1
2bc9,1,A,294,single,X-RAY DIFFRACTION,1
2bei,2,"A,B",311,single,X-RAY DIFFRACTION,1
2bff,2,"A,B",724,single,X-RAY DIFFRACTION,1
2bid,1,A,197,NMR,SOLUTION NMR,15
2bjn,2,"A,B",292,single,X-RAY DIFFRACTION,1
2bkd,1,N,134,NMR,SOLUTION NMR,20
2bkr,2,"A,B",289,single,X-RAY DIFFRACTION,1
2ble,1,A,337,single,X-RAY DIFFRACTION,1
2bme,4,"A,B,C,D",697,single,X-RAY DIFFRACTION,1
2bmj,1,A,174,single,X-RAY DIFFRACTION,1
2bo9,4,"A,B,C,D",1046,single,X-RAY DIFFRACTION,1
2boa,2,"A,B",802,single,X-RAY DIFFRACTION,1
2box,1,A,135,single,X-RAY DIFFRACTION,1
2bp1,4,"A,B,C,D",1286,single,X-RAY DIFFRACTION,1
2bq0,2,"A,B",461,single,X-RAY DIFFRACTION,1
2br9,2,"A,P",235,single,X-RAY DIFFRACTION,1
2bsk,6,"A,B,C,D,E,F",415,single,X-RAY DIFFRACTION,1
2bt2,5,"A,B,C,D,E",711,single,X-RAY DIFFRACTION,1
2btp,4,"A,B,P,Q",479,single,X-RAY DIFFRACTION,1
2buj,2,"A,B",577,single,X-RAY DIFFRACTION,1
2bv1,2,"A,B",264,single,X-RAY DIFFRACTION,1
2byd,1,A,283,single,X-RAY DIFFRACTION,1
2byg,1,A,98,single,X-RAY DIFFRACTION,1
2bze,1,A,153,NMR,SOLUTION NMR,25
2bzm,1,A,129,NMR,SOLUTION NMR,26
2bzy,2,"A,B",126,single,X-RAY DIFFRACTION,1
2c0j,2,"A,B",304,single,X-RAY DIFFRACTION,1
2c0l,2,"A,B",414,single,X-RAY DIFFRACTION,1
2c0m,4,"A,B,C,F",1198,single,X-RAY DIFFRACTION,1
2c30,1,A,289,single,X-RAY DIFFRACTION,1
2c35,8,"A,B,C,D,E,F,G,H",1194,single,X-RAY DIFFRACTION,1
2c46,4,"A,B,C,D",787,single,X-RAY DIFFRACTION,1
2c47,4,"A,B,C,D",1149,single,X-RAY DIFFRACTION,1
2c4k,6,"A,B,C,D,E,F",1830,single,X-RAY DIFFRACTION,1
2c52,2,"A,B",117,NMR,SOLUTION NMR,37
2c5d,4,"A,B,C,D",1146,single,X-RAY DIFFRACTION,1
2c60,1,A,83,single,X-RAY DIFFRACTION,1
2c6a,1,A,46,NMR,SOLUTION NMR,20
2c6b,1,A,46,NMR,SOLUTION NMR,20
2c6y,2,"A,B",194,single,X-RAY DIFFRACTION,1
2c74,4,"A,B,P,Q",477,single,X-RAY DIFFRACTION,1
2c7a,2,"A,B",155,single,X-RAY DIFFRACTION,1
2c7h,1,A,86,NMR,SOLUTION NMR,25
2c7m,2,"A,B",132,single,X-RAY DIFFRACTION,1
2c9h,1,A,426,single,X-RAY DIFFRACTION,1
2c9o,3,"A,B,C",1102,single,X-RAY DIFFRACTION,1
2cb8,2,"A,B",171,single,X-RAY DIFFRACTION,1
2ccq,1,A,99,single,X-RAY DIFFRACTION,1
2ce8,6,"A,B,C,D,X,Y",1366,single,X-RAY DIFFRACTION,1
2cfh,4,"A,B,C,D",625,single,X-RAY DIFFRACTION,1
2cg5,2,"A,B",337,single,X-RAY DIFFRACTION,1
2cg6,1,A,90,single,X-RAY DIFFRACTION,1
2cg7,1,A,90,single,X-RAY DIFFRACTION,1
2ch0,1,A,133,NMR,SOLUTION NMR,20
2ch5,4,"A,B,C,D",1370,single,X-RAY DIFFRACTION,1
2ch6,4,"A,B,C,D",1333,single,X-RAY DIFFRACTION,1
2ci8,1,A,99,single,X-RAY DIFFRACTION,1
2ci9,4,"A,B,L,M",222,single,X-RAY DIFFRACTION,1
2cia,2,"A,L",106,single,X-RAY DIFFRACTION,1
2cjw,2,"A,B",344,single,X-RAY DIFFRACTION,1
2ckc,1,A,60,NMR,SOLUTION NMR,25
2cku,1,A,89,NMR,SOLUTION NMR,15
2clp,11,"A,B,C,D,E,F,G,H,I,J,K",3552,single,X-RAY DIFFRACTION,1
2clt,2,"A,B",734,single,X-RAY DIFFRACTION,1
2cn1,1,A,273,single,X-RAY DIFFRACTION,1
2co8,1,A,82,NMR,SOLUTION NMR,20
2cod,1,A,115,NMR,SOLUTION NMR,20
2cok,1,A,113,NMR,SOLUTION NMR,20
2com,1,A,124,NMR,SOLUTION NMR,20
2coo,1,A,70,NMR,SOLUTION NMR,20
2cor,1,A,79,NMR,SOLUTION NMR,20
2coy,1,A,112,NMR,SOLUTION NMR,20
2cp2,1,A,95,NMR,SOLUTION NMR,20
2cp3,1,A,84,NMR,SOLUTION NMR,20
2cp5,1,A,141,NMR,SOLUTION NMR,20
2cp6,1,A,172,NMR,SOLUTION NMR,20
2cp8,1,A,54,NMR,SOLUTION NMR,20
2cpc,1,A,113,NMR,SOLUTION NMR,20
2cpn,1,A,89,NMR,SOLUTION NMR,20
2cpq,1,A,91,NMR,SOLUTION NMR,20
2cpr,1,A,124,NMR,SOLUTION NMR,20
2cpt,1,A,117,NMR,SOLUTION NMR,20
2cpw,1,A,64,NMR,SOLUTION NMR,20
2cpy,1,A,114,NMR,SOLUTION NMR,20
2cpz,1,A,115,NMR,SOLUTION NMR,20
2cq0,1,A,103,NMR,SOLUTION NMR,20
2cq1,1,A,101,NMR,SOLUTION NMR,20
2cq2,1,A,114,NMR,SOLUTION NMR,20
2cq4,1,A,114,NMR,SOLUTION NMR,20
2cq9,1,A,130,NMR,SOLUTION NMR,20
2cqa,1,A,95,NMR,SOLUTION NMR,20
2cqb,1,A,102,NMR,SOLUTION NMR,20
2cqc,1,A,95,NMR,SOLUTION NMR,20
2cqd,1,A,116,NMR,SOLUTION NMR,20
2cqg,1,A,103,NMR,SOLUTION NMR,20
2cqi,1,A,103,NMR,SOLUTION NMR,20
2cqk,1,A,101,NMR,SOLUTION NMR,20
2cql,1,A,100,NMR,SOLUTION NMR,20
2cqn,1,A,77,NMR,SOLUTION NMR,20
2cqq,1,A,72,NMR,SOLUTION NMR,20
2cqr,1,A,73,NMR,SOLUTION NMR,20
2cqu,1,A,116,NMR,SOLUTION NMR,20
2cqv,1,A,114,NMR,SOLUTION NMR,20
2cr2,1,A,159,NMR,SOLUTION NMR,20
2cr3,1,A,99,NMR,SOLUTION NMR,20
2cr6,1,A,115,NMR,SOLUTION NMR,20
2cr8,1,A,53,NMR,SOLUTION NMR,20
2cr9,1,A,139,NMR,SOLUTION NMR,20
2cra,1,A,70,NMR,SOLUTION NMR,20
2crc,1,A,52,NMR,SOLUTION NMR,20
2crf,1,A,150,NMR,SOLUTION NMR,20
2crh,1,A,138,NMR,SOLUTION NMR,20
2crl,1,A,98,NMR,SOLUTION NMR,20
2crn,1,A,64,NMR,SOLUTION NMR,20
2cru,1,A,118,NMR,SOLUTION NMR,20
2cs2,1,A,134,NMR,SOLUTION NMR,20
2cs5,1,A,119,NMR,SOLUTION NMR,20
2csp,1,A,130,NMR,SOLUTION NMR,20
2csq,1,A,97,NMR,SOLUTION NMR,20
2csw,1,A,145,NMR,SOLUTION NMR,20
2csz,1,A,76,NMR,SOLUTION NMR,20
2ct0,1,A,74,NMR,SOLUTION NMR,20
2ct1,1,A,77,NMR,SOLUTION NMR,20
2ct2,1,A,88,NMR,SOLUTION NMR,20
2ct3,1,A,70,NMR,SOLUTION NMR,20
2ct4,1,A,70,NMR,SOLUTION NMR,20
2ct7,1,A,86,NMR,SOLUTION NMR,20
2cte,1,A,94,NMR,SOLUTION NMR,20
2ctf,1,A,102,NMR,SOLUTION NMR,20
2ctj,1,A,95,NMR,SOLUTION NMR,20
2ctk,1,A,104,NMR,SOLUTION NMR,20
2ctl,1,A,97,NMR,SOLUTION NMR,20
2ctm,1,A,95,NMR,SOLUTION NMR,20
2ctt,1,A,104,NMR,SOLUTION NMR,20
2cu1,1,A,103,NMR,SOLUTION NMR,20
2cu7,1,A,72,NMR,SOLUTION NMR,20
2cub,1,A,88,NMR,SOLUTION NMR,20
2cue,1,A,80,NMR,SOLUTION NMR,20
2cuh,1,A,115,NMR,SOLUTION NMR,20
2cui,1,A,112,NMR,SOLUTION NMR,20
2cum,1,A,105,NMR,SOLUTION NMR,20
2cup,1,A,101,NMR,SOLUTION NMR,20
2cuq,1,A,80,NMR,SOLUTION NMR,20
2cur,1,A,69,NMR,SOLUTION NMR,20
2cv5,8,"A,B,C,D,E,F,G,H",761,single,X-RAY DIFFRACTION,1
2cwb,1,A,46,NMR,SOLUTION NMR,10
2cxy,1,A,113,single,X-RAY DIFFRACTION,1
2cyx,3,"A,B,C",507,single,X-RAY DIFFRACTION,1
2czi,1,A,259,single,X-RAY DIFFRACTION,1
2d1i,2,"A,B",678,single,X-RAY DIFFRACTION,1
2d1x,6,"A,B,C,D,P,Q",262,single,X-RAY DIFFRACTION,1
2d2p,1,A,38,NMR,SOLUTION NMR,20
2d2z,3,"A,B,C",694,single,X-RAY DIFFRACTION,1
2d4h,2,"A,B",583,single,X-RAY DIFFRACTION,1
2d68,2,"A,B",152,single,X-RAY DIFFRACTION,1
2d7i,1,A,536,single,X-RAY DIFFRACTION,1
2d7l,1,A,81,NMR,SOLUTION NMR,20
2d7m,1,A,115,NMR,SOLUTION NMR,20
2d7n,1,A,93,NMR,SOLUTION NMR,20
2d7o,1,A,111,NMR,SOLUTION NMR,20
2d7p,1,A,112,NMR,SOLUTION NMR,20
2d7q,1,A,111,NMR,SOLUTION NMR,20
2d89,1,A,119,NMR,SOLUTION NMR,20
2d8i,1,A,114,NMR,SOLUTION NMR,20
2d8m,1,A,129,NMR,SOLUTION NMR,20
2d8q,1,A,70,NMR,SOLUTION NMR,20
2d8t,1,A,71,NMR,SOLUTION NMR,20
2d8u,1,A,64,NMR,SOLUTION NMR,20
2d8z,1,A,70,NMR,SOLUTION NMR,20
2d92,1,A,108,NMR,SOLUTION NMR,20
2d96,1,A,109,NMR,SOLUTION NMR,20
2d99,1,A,90,NMR,SOLUTION NMR,20
2d9b,1,A,109,NMR,SOLUTION NMR,20
2d9c,1,A,136,NMR,SOLUTION NMR,20
2d9d,1,A,89,NMR,SOLUTION NMR,20
2d9e,1,A,121,NMR,SOLUTION NMR,20
2d9f,1,A,135,NMR,SOLUTION NMR,20
2d9h,1,A,78,NMR,SOLUTION NMR,20
2d9i,1,A,96,NMR,SOLUTION NMR,20
2d9l,1,A,134,NMR,SOLUTION NMR,20
2d9n,1,A,77,NMR,SOLUTION NMR,20
2d9p,1,A,103,NMR,SOLUTION NMR,20
2d9u,1,A,74,NMR,SOLUTION NMR,20
2d9w,1,A,127,NMR,SOLUTION NMR,20
2da0,1,A,114,NMR,SOLUTION NMR,20
2da1,1,A,70,NMR,SOLUTION NMR,20
2da2,1,A,70,NMR,SOLUTION NMR,20
2da3,1,A,80,NMR,SOLUTION NMR,20
2da5,1,A,75,NMR,SOLUTION NMR,20
2da6,1,A,102,NMR,SOLUTION NMR,20
2dae,1,A,75,NMR,SOLUTION NMR,20
2dag,1,A,74,NMR,SOLUTION NMR,20
2dak,1,A,63,NMR,SOLUTION NMR,20
2dal,1,A,62,NMR,SOLUTION NMR,20
2dan,1,A,60,NMR,SOLUTION NMR,20
2dao,1,A,118,NMR,SOLUTION NMR,20
2daq,1,A,110,NMR,SOLUTION NMR,20
2dar,1,A,90,NMR,SOLUTION NMR,20
2dat,1,A,123,NMR,SOLUTION NMR,20
2dav,1,A,126,NMR,SOLUTION NMR,20
2day,1,A,128,NMR,SOLUTION NMR,20
2daz,1,A,124,NMR,SOLUTION NMR,20
2db5,1,A,128,NMR,SOLUTION NMR,20
2db6,1,A,74,NMR,SOLUTION NMR,20
2db7,2,"A,B",112,single,X-RAY DIFFRACTION,1
2db8,1,A,110,NMR,SOLUTION NMR,20
2dbd,1,A,107,NMR,SOLUTION NMR,20
2dbf,1,A,100,NMR,SOLUTION NMR,20
2dbg,1,A,103,NMR,SOLUTION NMR,20
2dbh,1,A,102,NMR,SOLUTION NMR,20
2dbk,1,A,88,NMR,SOLUTION NMR,20
2dbm,1,A,73,NMR,SOLUTION NMR,20
2dc2,1,A,87,NMR,SOLUTION NMR,20
2dc3,2,"A,B",340,single,X-RAY DIFFRACTION,1
2dce,1,A,111,NMR,SOLUTION NMR,20
2ddy,1,A,173,NMR,SOLUTION NMR,25
2dez,1,A,36,NMR,SOLUTION NMR,20
2df0,1,A,34,NMR,SOLUTION NMR,20
2dfd,4,"A,B,C,D",1256,single,X-RAY DIFFRACTION,1
2dgs,1,A,99,NMR,SOLUTION NMR,20
2dgu,1,A,103,NMR,SOLUTION NMR,20
2dgv,1,A,92,NMR,SOLUTION NMR,20
2dgx,1,A,96,NMR,SOLUTION NMR,20
2dgy,1,A,111,NMR,SOLUTION NMR,20
2dgz,1,A,113,NMR,SOLUTION NMR,20
2dh7,1,A,105,NMR,SOLUTION NMR,20
2dh8,1,A,105,NMR,SOLUTION NMR,20
2dh9,1,A,89,NMR,SOLUTION NMR,20
2dha,1,A,123,NMR,SOLUTION NMR,20
2dhg,1,A,104,NMR,SOLUTION NMR,20
2dhj,1,A,125,NMR,SOLUTION NMR,20
2dhs,1,A,187,NMR,SOLUTION NMR,7
2dhx,1,A,104,NMR,SOLUTION NMR,20
2di0,1,A,71,NMR,SOLUTION NMR,20
2di8,1,A,111,NMR,SOLUTION NMR,20
2di9,1,A,131,NMR,SOLUTION NMR,20
2dia,1,A,113,NMR,SOLUTION NMR,20
2dib,1,A,128,NMR,SOLUTION NMR,20
2dic,1,A,105,NMR,SOLUTION NMR,20
2did,1,A,53,NMR,SOLUTION NMR,20
2dif,1,A,53,NMR,SOLUTION NMR,20
2dii,1,A,61,NMR,SOLUTION NMR,20
2dil,1,A,69,NMR,SOLUTION NMR,20
2dim,1,A,70,NMR,SOLUTION NMR,20
2din,1,A,66,NMR,SOLUTION NMR,20
2diq,1,A,110,NMR,SOLUTION NMR,20
2dit,1,A,112,NMR,SOLUTION NMR,20
2diu,1,A,96,NMR,SOLUTION NMR,20
2div,1,A,99,NMR,SOLUTION NMR,20
2diw,1,A,152,NMR,SOLUTION NMR,20
2diy,1,A,130,NMR,SOLUTION NMR,20
2diz,1,A,117,NMR,SOLUTION NMR,20
2dj4,1,A,108,NMR,SOLUTION NMR,20
2dj7,1,A,80,NMR,SOLUTION NMR,20
2dj8,1,A,60,NMR,SOLUTION NMR,20
2dja,1,A,84,NMR,SOLUTION NMR,20
2djs,1,A,108,NMR,SOLUTION NMR,20
2djv,1,A,79,NMR,SOLUTION NMR,20
2dk1,1,A,50,NMR,SOLUTION NMR,20
2dk5,1,A,91,NMR,SOLUTION NMR,20
2dk7,1,A,73,NMR,SOLUTION NMR,20
2dk9,1,A,118,NMR,SOLUTION NMR,20
2dkq,1,A,160,NMR,SOLUTION NMR,20
2dks,1,A,130,NMR,SOLUTION NMR,20
2dku,1,A,103,NMR,SOLUTION NMR,20
2dkw,1,A,131,NMR,SOLUTION NMR,20
2dkx,1,A,96,NMR,SOLUTION NMR,20
2dky,1,A,91,NMR,SOLUTION NMR,20
2dl0,1,A,97,NMR,SOLUTION NMR,20
2dl1,1,A,116,NMR,SOLUTION NMR,20
2dl3,1,A,68,NMR,SOLUTION NMR,20
2dl4,1,A,68,NMR,SOLUTION NMR,20
2dl5,1,A,78,NMR,SOLUTION NMR,20
2dl6,1,A,83,NMR,SOLUTION NMR,20
2dl7,1,A,73,NMR,SOLUTION NMR,20
2dl8,1,A,72,NMR,SOLUTION NMR,20
2dl9,1,A,103,NMR,SOLUTION NMR,20
2dle,1,A,104,NMR,SOLUTION NMR,20
2dlg,1,A,102,NMR,SOLUTION NMR,20
2dlh,1,A,121,NMR,SOLUTION NMR,20
2dlk,1,A,79,NMR,SOLUTION NMR,20
2dll,1,A,121,NMR,SOLUTION NMR,20
2dlm,1,A,68,NMR,SOLUTION NMR,20
2dlo,1,A,81,NMR,SOLUTION NMR,20
2dlr,1,A,149,NMR,SOLUTION NMR,20
2dls,1,A,93,NMR,SOLUTION NMR,20
2dlu,1,A,111,NMR,SOLUTION NMR,20
2dlv,1,A,140,NMR,SOLUTION NMR,20
2dlw,1,A,113,NMR,SOLUTION NMR,20
2dlx,1,A,153,NMR,SOLUTION NMR,20
2dlz,1,A,118,NMR,SOLUTION NMR,20
2dm1,1,A,73,NMR,SOLUTION NMR,20
2dm2,1,A,110,NMR,SOLUTION NMR,20
2dm3,1,A,110,NMR,SOLUTION NMR,20
2dm4,1,A,108,NMR,SOLUTION NMR,20
2dm7,1,A,108,NMR,SOLUTION NMR,20
2dm8,1,A,116,NMR,SOLUTION NMR,20
2dmb,1,A,124,NMR,SOLUTION NMR,20
2dmc,1,A,116,NMR,SOLUTION NMR,20
2dmd,1,A,96,NMR,SOLUTION NMR,20
2dmf,1,A,137,NMR,SOLUTION NMR,20
2dmh,1,A,140,NMR,SOLUTION NMR,20
2dmj,1,A,106,NMR,SOLUTION NMR,20
2dmk,1,A,127,NMR,SOLUTION NMR,20
2dmm,1,A,142,NMR,SOLUTION NMR,20
2dmo,1,A,68,NMR,SOLUTION NMR,20
2dmp,1,A,89,NMR,SOLUTION NMR,20
2dmv,1,A,43,NMR,SOLUTION NMR,20
2dmz,1,A,129,NMR,SOLUTION NMR,20
2dn0,1,A,76,NMR,SOLUTION NMR,20
2dn4,1,A,99,NMR,SOLUTION NMR,20
2dn5,1,A,89,NMR,SOLUTION NMR,20
2dn7,1,A,107,NMR,SOLUTION NMR,20
2dn9,1,A,79,NMR,SOLUTION NMR,20
2dnc,1,A,98,NMR,SOLUTION NMR,20
2dne,1,A,108,NMR,SOLUTION NMR,20
2dnl,1,A,114,NMR,SOLUTION NMR,20
2dnn,1,A,108,NMR,SOLUTION NMR,20
2dnr,1,A,91,NMR,SOLUTION NMR,20
2dnt,1,A,78,NMR,SOLUTION NMR,20
2dnw,1,A,99,NMR,SOLUTION NMR,20
2dny,1,A,119,NMR,SOLUTION NMR,20
2dnz,1,A,95,NMR,SOLUTION NMR,20
2do0,1,A,114,NMR,SOLUTION NMR,20
2do3,1,A,69,NMR,SOLUTION NMR,20
2do4,1,A,100,NMR,SOLUTION NMR,20
2do5,1,A,58,NMR,SOLUTION NMR,20
2do6,2,"A,B",106,NMR,SOLUTION NMR,20
2do7,1,A,101,NMR,SOLUTION NMR,20
2dob,1,A,79,single,X-RAY DIFFRACTION,1
2dod,1,A,82,NMR,SOLUTION NMR,20
2doe,1,A,83,NMR,SOLUTION NMR,20
2dof,1,A,85,NMR,SOLUTION NMR,20
2doi,4,"A,B,C,X",380,single,X-RAY DIFFRACTION,1
2dok,2,"A,B",338,single,X-RAY DIFFRACTION,1
2dos,1,A,171,NMR,SOLUTION NMR,10
2dq7,1,X,262,single,X-RAY DIFFRACTION,1
2dsb,4,"A,B,C,D",824,single,X-RAY DIFFRACTION,1
2dsp,2,"B,I",148,single,X-RAY DIFFRACTION,1
2dsq,6,"A,B,C,G,H,I",409,single,X-RAY DIFFRACTION,1
2dsr,3,"B,G,I",219,single,X-RAY DIFFRACTION,1
2dt7,2,"A,B",123,NMR,SOLUTION NMR,20
2dun,1,A,133,NMR,SOLUTION NMR,20
2dvj,1,A,227,NMR,SOLUTION NMR,1
2dyb,2,"A,B",569,single,X-RAY DIFFRACTION,1
2dyq,1,A,118,single,X-RAY DIFFRACTION,1
2dzi,1,A,81,NMR,SOLUTION NMR,20
2dzm,1,A,100,NMR,SOLUTION NMR,20
2dzq,1,A,99,NMR,SOLUTION NMR,20
2dzr,1,A,99,NMR,SOLUTION NMR,20
2e0j,2,"A,B",256,single,X-RAY DIFFRACTION,1
2e1q,4,"A,B,C,D",5228,single,X-RAY DIFFRACTION,1
2e2r,1,A,228,single,X-RAY DIFFRACTION,1
2e2w,1,A,113,NMR,SOLUTION NMR,20
2e3h,1,A,81,single,X-RAY DIFFRACTION,1
2e5e,1,A,101,NMR,SOLUTION NMR,15
2e5k,1,A,94,NMR,SOLUTION NMR,20
2e5n,1,A,100,NMR,SOLUTION NMR,20
2e5p,1,A,68,NMR,SOLUTION NMR,20
2e5q,1,A,63,NMR,SOLUTION NMR,20
2e5s,1,A,98,NMR,SOLUTION NMR,20
2e6i,1,A,64,NMR,SOLUTION NMR,20
2e6n,1,A,104,NMR,SOLUTION NMR,20
2e6o,1,A,87,NMR,SOLUTION NMR,20
2e6p,1,A,104,NMR,SOLUTION NMR,20
2e6q,1,A,112,NMR,SOLUTION NMR,20
2e6s,1,A,77,NMR,SOLUTION NMR,20
2e6z,1,A,59,NMR,SOLUTION NMR,20
2e7b,1,A,103,NMR,SOLUTION NMR,20
2e7h,1,A,109,NMR,SOLUTION NMR,20
2e7n,1,A,117,NMR,SOLUTION NMR,20
2e8j,2,"A,B",192,NMR,SOLUTION NMR,1
2e8n,1,A,88,NMR,SOLUTION NMR,20
2e8o,1,A,103,NMR,SOLUTION NMR,20
2e9g,1,A,131,NMR,SOLUTION NMR,20
2e9h,1,A,157,NMR,SOLUTION NMR,20
2e9i,1,A,106,NMR,SOLUTION NMR,20
2e9j,1,A,119,NMR,SOLUTION NMR,20
2e9s,3,"A,B,C",468,single,X-RAY DIFFRACTION,1
2e9w,4,"A,B,C,D",1197,single,X-RAY DIFFRACTION,1
2ea6,1,A,69,NMR,SOLUTION NMR,20
2eam,1,A,80,NMR,SOLUTION NMR,20
2ean,1,A,83,NMR,SOLUTION NMR,20
2eao,1,A,99,NMR,SOLUTION NMR,20
2eav,2,"A,B",328,single,X-RAY DIFFRACTION,1
2ebk,1,A,128,NMR,SOLUTION NMR,20
2ebp,1,A,73,NMR,SOLUTION NMR,20
2ebq,1,A,47,NMR,SOLUTION NMR,20
2ebr,1,A,47,NMR,SOLUTION NMR,20
2ebu,1,A,112,NMR,SOLUTION NMR,20
2ebv,1,A,57,NMR,SOLUTION NMR,20
2ebw,1,A,97,NMR,SOLUTION NMR,20
2ebz,1,A,155,NMR,SOLUTION NMR,20
2ec1,1,A,118,NMR,SOLUTION NMR,20
2ec3,1,A,68,NMR,SOLUTION NMR,20
2ec4,1,A,171,NMR,SOLUTION NMR,20
2ec8,1,A,464,single,X-RAY DIFFRACTION,1
2ecb,1,A,89,NMR,SOLUTION NMR,20
2ecc,1,A,76,NMR,SOLUTION NMR,20
2ecd,1,A,119,NMR,SOLUTION NMR,20
2ecg,1,A,75,NMR,SOLUTION NMR,20
2eci,1,A,86,NMR,SOLUTION NMR,20
2ecj,1,A,58,NMR,SOLUTION NMR,20
2ecl,1,A,81,NMR,SOLUTION NMR,20
2ecn,1,A,70,NMR,SOLUTION NMR,20
2ecv,1,A,85,NMR,SOLUTION NMR,20
